source,target,weight
dep,dep,0.0
dep,int,2.1407
dep,los,0.7232
dep,gai,0.2041
dep,dap,1.1296
dep,iap,0.5217
dep,iso,1.053
dep,hso,0.9409
dep,agi,0.7484
dep,ret,0.6849
dep,fat,1.0979
dep,wor,1.8733
dep,con,1.0211
dep,dea,2.0693
int,dep,2.1407
int,int,0.0
int,los,0.1766
int,gai,0.2811
int,dap,0.5763
int,iap,0.2392
int,iso,0.4273
int,hso,0.5311
int,agi,0.4459
int,ret,0.6564
int,fat,0.507
int,wor,0.6826
int,con,0.8178
int,dea,0.4986
los,dep,0.7232
los,int,0.1766
los,los,0.0
los,gai,-0.6082
los,dap,2.984
los,iap,0.0
los,iso,0.2045
los,hso,0.0
los,agi,0.0
los,ret,0.0
los,fat,0.0
los,wor,0.3772
los,con,0.1063
los,dea,0.252
gai,dep,0.2041
gai,int,0.2811
gai,los,-0.6082
gai,gai,0.0
gai,dap,-0.5389
gai,iap,3.165
gai,iso,0.2672
gai,hso,0.2041
gai,agi,0.0
gai,ret,0.0
gai,fat,0.4112
gai,wor,0.5226
gai,con,0.0
gai,dea,0.0
dap,dep,1.1296
dap,int,0.5763
dap,los,2.984
dap,gai,-0.5389
dap,dap,0.0
dap,iap,0.0
dap,iso,0.7033
dap,hso,0.402
dap,agi,0.4724
dap,ret,0.2219
dap,fat,0.2284
dap,wor,0.1203
dap,con,0.4177
dap,dea,0.1198
iap,dep,0.5217
iap,int,0.2392
iap,los,0.0
iap,gai,3.165
iap,dap,0.0
iap,iap,0.0
iap,iso,0.0
iap,hso,0.5475
iap,agi,0.489
iap,ret,0.2914
iap,fat,0.4546
iap,wor,0.0
iap,con,0.0
iap,dea,0.162
iso,dep,1.053
iso,int,0.4273
iso,los,0.2045
iso,gai,0.2672
iso,dap,0.7033
iso,iap,0.0
iso,iso,0.0
iso,hso,-0.5009
iso,agi,1.2951
iso,ret,0.0
iso,fat,0.8279
iso,wor,0.0
iso,con,0.2585
iso,dea,0.4514
hso,dep,0.9409
hso,int,0.5311
hso,los,0.0
hso,gai,0.2041
hso,dap,0.402
hso,iap,0.5475
hso,iso,-0.5009
hso,hso,0.0
hso,agi,0.0
hso,ret,0.4048
hso,fat,1.4768
hso,wor,0.2708
hso,con,0.0597
hso,dea,0.2151
agi,dep,0.7484
agi,int,0.4459
agi,los,0.0
agi,gai,0.0
agi,dap,0.4724
agi,iap,0.489
agi,iso,1.2951
agi,hso,0.0
agi,agi,0.0
agi,ret,0.0
agi,fat,0.3751
agi,wor,0.3893
agi,con,0.9414
agi,dea,0.1939
ret,dep,0.6849
ret,int,0.6564
ret,los,0.0
ret,gai,0.0
ret,dap,0.2219
ret,iap,0.2914
ret,iso,0.0
ret,hso,0.4048
ret,agi,0.0
ret,ret,0.0
ret,fat,1.5718
ret,wor,0.3491
ret,con,0.7233
ret,dea,0.1407
fat,dep,1.0979
fat,int,0.507
fat,los,0.0
fat,gai,0.4112
fat,dap,0.2284
fat,iap,0.4546
fat,iso,0.8279
fat,hso,1.4768
fat,agi,0.3751
fat,ret,1.5718
fat,fat,0.0
fat,wor,0.2362
fat,con,0.4935
fat,dea,0.0
wor,dep,1.8733
wor,int,0.6826
wor,los,0.3772
wor,gai,0.5226
wor,dap,0.1203
wor,iap,0.0
wor,iso,0.0
wor,hso,0.2708
wor,agi,0.3893
wor,ret,0.3491
wor,fat,0.2362
wor,wor,0.0
wor,con,0.6659999999999999
wor,dea,1.4769
con,dep,1.0211
con,int,0.8178
con,los,0.1063
con,gai,0.0
con,dap,0.4177
con,iap,0.0
con,iso,0.2585
con,hso,0.0597
con,agi,0.9414
con,ret,0.7233
con,fat,0.4935
con,wor,0.6659999999999999
con,con,0.0
con,dea,0.2156
dea,dep,2.0693
dea,int,0.4986
dea,los,0.252
dea,gai,0.0
dea,dap,0.1198
dea,iap,0.162
dea,iso,0.4514
dea,hso,0.2151
dea,agi,0.1939
dea,ret,0.1407
dea,fat,0.0
dea,wor,1.4769
dea,con,0.2156
dea,dea,0.0
